"stock","ticker"
"China Mobile Ltd.","0941"
"Diageo","DGE"
"Tesla","TSLA"
"LVMH","MC"
"China Construction Bank Corporation","0939"
"Apple","AAPL"
"""Ping An Insurance (Group) Company of China, Ltd.""","2318"
"NXP Semiconductors NV",""" NXPI"""
"Hitachi","6501"
"Siemens","SIE"
"Unilever","ULVR"
"Mitsubishi UFJ","8306"
"AstraZeneca","AZN"
"Alibaba Group Holding Ltd.","9988"
"Kering","KER"
"Airbus","AIR"
"Maruti Suzuki","MARUTI"
"Panasonic","6752"
"NVIDIA Corporation","NVDA"
"Xiaomi Corporation","1810"
"Canon","7751"
"TotalEnergies","TTE"
"SoftBank","9984"
"Broadcom Inc.","AVGO"
"Wipro","WIPRO"
"Amazon","AMZN"
"JD.com Inc","9618"
"Hermes","RMS"
"Deutsche Telekom","DTE"
"Adidas","ADS"
"Tencent Holdings Ltd.","0700"
"Industrial and Commercial Bank of China Ltd.","1398"
"BASF","BAS"
"Costco Wholesale Corp",""" COST"""
"Schneider Electric","SU"
"Meituan","3690"
"Honda","7267"
"Vodafone","VOD"
"Bayer","BAYN"
"Volkswagen","VOW3"
"Allianz","ALV"
"Sanofi","SAN"
"ICICI Bank","ICICIBANK"
"Bajaj Finance","BAJFINANCE"
"HDFC Bank","HDFCBANK"
"BMW","BMW"
"Microsoft","MSFT"
"HSBC","HSBA"
"BNP Paribas","BNP"
"Daimler","MBG"
